DiabetesSTDEV,Lila 1 and 10,pop 2010,Urban,LowIncomeTracts,Average of percent,Average of lower confidence limit,Average of upper confidence limit,Statelist,CONCAT
0,0,894014,1,0,7.775,7.1,8.475,7,310
0,0,189927,0,0,6.925,5.7125,8.275,7,311
0,0,165676,1,0,7.3125,6.025,8.75,7,312
0,0,862477,1,0,8.5125,7.8,9.2375,7,313
0,0,274055,1,0,7.6125,6.5125,8.8125,7,314
0,0,152691,1,0,6.4875,5.3,7.8375,7,315
0,0,118428,0,0,8.575,7.025,10.35,7,316
0,0,162310,1,0,10.7875,9.8875,11.725,8,317
0,0,538479,1,0,8.0375,7.2875,8.8,8,318
0,0,197145,1,0,10.8625,9.95,11.7875,8,319
0,0,601723,1,1,8.2125,7.7375,8.6875,9,320
0,0,247336,1,1,7.4625,6.225,8.8875,10,321
0,1,27115,1,1,11.3625,9.5625,13.4125,10,322
0,0,168852,1,0,9.85,8.2625,11.7,10,323
0,0,28520,0,0,11.3375,9.55,13.45,10,324
0,0,543376,1,0,10.95,9.325,12.775,10,325
0,0,1748066,1,0,8.425,7.275,9.7,10,326
0,1,14625,0,1,11.3375,9.5,13.45,10,327
1,0,159978,1,0,11.6625,9.8,13.75,10,328
1,0,141236,1,1,12,10.1125,14.125,10,329
0,0,190865,1,0,9.675,7.9875,11.5625,10,330
0,0,321520,1,0,9.175,7.7375,10.775,10,331
0,0,67531,0,0,10.8625,9.1125,12.8625,10,332
0,0,34862,0,1,10.6,8.8875,12.5375,10,333
1,0,16422,0,1,11.8375,9.8375,14.0375,10,334
0,0,864263,1,0,10.0125,8.75,11.325,10,335
0,0,297619,1,0,10.725,9.1625,12.4625,10,336
0,0,95696,1,0,10.325,8.8,11.975,10,337
0,0,11549,0,1,9.6375,7.9125,11.5875,10,338
1,0,46389,0,1,12.225,10.3625,14.275,10,339
0,0,16939,0,1,9.7625,7.9875,11.875,10,340
0,1,12884,0,1,11.275,9.4125,13.3875,10,341
0,0,15863,0,0,10.15,8.4375,12.0875,10,342
0,1,14799,0,1,11.45,9.55,13.6375,10,343
1,1,27731,0,1,11.9625,10.025,14.2375,10,344
0,0,39140,0,1,9.1375,7.5125,11.0875,10,345
0,0,172778,1,0,11.1125,9.3,13.1375,10,346
1,0,98786,0,1,12.6125,10.6875,14.6875,10,347
0,0,1229226,1,0,9.3,7.9875,10.7375,10,348
1,0,19927,0,1,11.9625,10.0625,14.1,10,349
0,0,138028,1,0,10.375,8.65,12.3,10,350
0,0,49746,0,1,11.3625,9.6125,13.3125,10,351
